"","Species","Haglof_Plot_ID","Haglof_ID","Site","Tag","Health_status","Date","Notes","PlotID","Tree_Dia","Latitude","Longitude","dbh","component","a","b","se","source","ref","leaf.mass","genus","sla","lai","fate"
"94","ACRU",110,3468,"UMBS","3468","L","2019-06-10","Shares base with 3469","D01",230,45.5612229,-84.706186,23,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.66411982506436,"Acer",19,88.6182766762229,"live"
"95","ACRU",110,3469,"UMBS","3469","L","2019-06-10","Shares base with 3468","D01",232,45.5612272,-84.7061765,23.2,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.72672492029508,"Acer",19,89.8077734856066,"live"
"96","POTR",108,3433,"UMBS","3433","L","2019-06-10","","D01",214,45.5613541,-84.7067815,21.4,"FL",0.0114,2.0261,NA,"Upper Great Lakes","Perala and Alban, 1994",5.65530715384598,"Populus",15.89,89.8628306746127,"live"
"97","QURU",104,3396,"UMBS","3396","L","2019-06-09","","D01",297,45.5614925,-84.7073612,29.7,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.66963198389724,"Quercus",14.2,94.7087741713408,"live"
"98","QURU",104,6,"UMBS","1WQ3","L","2019-06-09","0006 on Haglof","D01",298,45.5615363,-84.7074402,29.8,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.70233145674313,"Quercus",14.2,95.1731066857525,"live"
"99","QURU",104,3389,"UMBS","3389","L","2019-06-09","Shares base with 3388","D01",300,45.5614938,-84.7075086,30,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.76788020705591,"Quercus",14.2,96.1038989401939,"live"
"100","QURU",104,3399,"UMBS","3399","L","2019-06-09","","D01",302,45.5614829,-84.7072795,30.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",6.833628091585,"Quercus",14.2,97.0375189005071,"live"
"101","QURU",107,3430,"UMBS","3430","L","2019-06-10","","D01",313,45.5613674,-84.7068945,31.3,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.19876917761501,"Quercus",14.2,102.222522322133,"live"
"102","POGR",109,3462,"UMBS","3462","L","2019-06-10","","D01",307,45.5612173,-84.7063503,30.7,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",6.52534635631495,"Populus",15.89,103.687753601845,"live"
"103","ACRU",107,3429,"UMBS","3429","L","2019-06-10","","D01",256,45.5613761,-84.7068956,25.6,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.50045199051426,"Acer",19,104.508587819771,"live"
"104","QURU",107,3431,"UMBS","3431","L","2019-06-10","","D01",322,45.5613773,-84.7068739,32.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.50190449059671,"Quercus",14.2,106.527043766473,"live"
"105","QURU",104,3410,"UMBS","3410","L","2019-06-09","shares base with 3411","D01",342,45.5613376,-84.7072066,34.2,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.18934602333016,"Quercus",14.2,116.288713531288,"live"
"106","POGR",109,3451,"UMBS","3451","L","2019-06-10","","D01",323,45.5612846,-84.7064548,32.3,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.32486293511403,"Populus",15.89,116.392072038962,"live"
"107","QURU",104,3398,"UMBS","3398","L","2019-06-09","","D01",345,45.5614819,-84.7072862,34.5,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.29407619381013,"Quercus",14.2,117.775881952104,"live"
"108","POGR",109,3459,"UMBS","3459","L","2019-06-10","","D01",329,45.561223,-84.7063666,32.9,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.63808403109999,"Populus",15.89,121.369155254179,"live"
"109","QURU",104,3393,"UMBS","3393","L","2019-06-09","","D01",357,45.5614853,-84.7074217,35.7,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",8.71712937936585,"Quercus",14.2,123.783237186995,"live"
