"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Plot","Species","Sample","Filename_date","Timestamp","Comments"
3,"17:19:50",189.5,0,3.2,0.024,178,0.385,1.55,26.59,6,1.42,1,2.84,21.57,26.59,20.05,404.66,400.64,19.292,19.745,73.45,75.18,500.3,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can08_07222018","D01E","acru","can08","07222018",2018-07-22 17:16:49,"17:16:51 ; "
4,"17:19:51",190.5,0,3.09,0.0238,184,0.382,1.55,26.59,6,1.42,1,2.84,21.57,26.59,20.05,404.51,400.62,19.294,19.743,73.47,75.18,500.2,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can08_07222018","D01E","acru","can08","07222018",2018-07-22 17:16:49,"17:16:51 ; "
5,"17:19:52",191.5,0,2.96,0.0236,191,0.38,1.55,26.6,6,1.42,1,2.84,21.57,26.6,20.05,404.3,400.57,19.295,19.742,73.47,75.17,500.2,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can08_07222018","D01E","acru","can08","07222018",2018-07-22 17:16:49,"17:16:51 ; "
1,"17:24:01",220,0,6.07,0.0535,209,0.76,1.39,26.03,6,1.42,1,2.84,21.6,26.03,20.06,407.89,400.25,19.358,20.252,73.57,76.97,500.3,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can09_07222018","D01E","acru","can09","07222018",2018-07-22 17:20:28,"17:20:29 ; "
2,"17:24:02",221.5,0,6.09,0.053,206,0.756,1.39,26.05,6,1.42,1,2.84,21.6,26.05,20.06,407.9,400.23,19.36,20.249,73.58,76.96,500.4,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can09_07222018","D01E","acru","can09","07222018",2018-07-22 17:20:28,"17:20:29 ; "
3,"17:24:03",222.5,0,6.1,0.0527,205,0.754,1.39,26.06,6,1.42,1,2.84,21.6,26.06,20.06,407.93,400.25,19.361,20.247,73.59,76.96,500.3,2000,0,98.4,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can09_07222018","D01E","acru","can09","07222018",2018-07-22 17:20:28,"17:20:29 ; "
4,"17:24:04",223.5,0,6.08,0.0528,206,0.755,1.39,26.06,6,1.42,1,2.84,21.6,26.06,20.06,407.92,400.27,19.359,20.245,73.58,76.95,500.3,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can09_07222018","D01E","acru","can09","07222018",2018-07-22 17:20:28,"17:20:29 ; "
5,"17:24:05",224.5,0,6.05,0.0525,206,0.752,1.4,26.08,6,1.42,1,2.84,21.6,26.08,20.06,407.89,400.27,19.36,20.244,73.59,76.95,500.3,2000,0,98.41,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can09_07222018","D01E","acru","can09","07222018",2018-07-22 17:20:28,"17:20:29 ; "
1,"14:26:28",215.5,0,8.87,0.0966,243,1.11,1.14,24.66,6,1.42,1,2.84,21.22,24.66,20.06,411.19,400.02,18.807,20.11,73.16,78.23,500.3,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can01_07222018","D01E","pogr","can01","07222018",2018-07-22 14:23:11,"14:23:14 ; "
2,"14:26:29",217,0,8.82,0.0961,243,1.11,1.14,24.67,6,1.42,1,2.84,21.22,24.67,20.06,411.19,400.08,18.808,20.107,73.17,78.22,500.3,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can01_07222018","D01E","pogr","can01","07222018",2018-07-22 14:23:11,"14:23:14 ; "
3,"14:26:31",218.5,0,8.85,0.0957,242,1.1,1.14,24.68,6,1.42,1,2.84,21.22,24.68,20.06,411.24,400.09,18.811,20.105,73.18,78.21,500.4,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can01_07222018","D01E","pogr","can01","07222018",2018-07-22 14:23:11,"14:23:14 ; "
4,"14:26:32",219.5,0,8.84,0.0956,242,1.1,1.14,24.68,6,1.42,1,2.84,21.22,24.68,20.06,411.23,400.11,18.811,20.105,73.18,78.21,500.4,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can01_07222018","D01E","pogr","can01","07222018",2018-07-22 14:23:11,"14:23:14 ; "
5,"14:26:33",221,0,8.79,0.0955,242,1.1,1.14,24.69,6,1.42,1,2.84,21.21,24.69,20.06,411.19,400.12,18.811,20.104,73.18,78.21,500.4,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can01_07222018","D01E","pogr","can01","07222018",2018-07-22 14:23:11,"14:23:14 ; "
1,"14:31:38",207.5,0,12.6,0.19,282,1.89,1.02,24.47,6,1.42,1,2.84,21.2,24.47,20.06,415.89,399.88,18.758,20.977,73.05,81.69,500.3,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can02_07222018","D01E","pogr","can02","07222018",2018-07-22 14:28:19,"14:28:20 ; "
2,"14:31:39",209,0,12.6,0.189,282,1.89,1.02,24.49,6,1.42,1,2.84,21.2,24.49,20.06,415.89,399.87,18.757,20.976,73.05,81.69,500.3,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,1,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can02_07222018","D01E","pogr","can02","07222018",2018-07-22 14:28:19,"14:28:20 ; "
3,"14:31:40",210.5,0,12.5,0.19,283,1.89,1.02,24.48,6,1.42,1,2.84,21.2,24.48,20.06,415.76,399.84,18.755,20.976,73.04,81.69,500.3,2000,0,98.39,-2.66,0.508,0.487,0.00494,0.511,0.00285,1,-0.22,2.74,1,0,0.16,111115,"D01E_pogr_can02_07222018","D01E","pogr","can02","07222018",2018-07-22 14:28:19,"14:28:20 ; "
